2025-08-23 18:13:29 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:13:29 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-23 18:13:29 | INFO | app.database:init_db:83 | Initializing database
2025-08-23 18:13:29 | INFO | app.database:init_db:100 | Database initialized successfully
2025-08-23 18:13:29 | INFO | app.main:check_external_services:260 | Checking external services
2025-08-23 18:13:29 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed
2025-08-23 18:13:29 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 18:13:29 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed
2025-08-23 18:13:29 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 18:13:29 | WARNING | app.main:check_external_services:265 | Ollama service check failed
2025-08-23 18:13:29 | INFO | app.main:lifespan:48 | Application startup completed successfully
2025-08-23 18:13:35 | INFO | app.main:lifespan:57 | Shutting down RAG application
2025-08-23 18:13:36 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:13:36 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-23 18:13:36 | INFO | app.database:init_db:83 | Initializing database
2025-08-23 18:13:36 | INFO | app.database:init_db:100 | Database initialized successfully
2025-08-23 18:13:36 | INFO | app.main:check_external_services:260 | Checking external services
2025-08-23 18:13:36 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed
2025-08-23 18:13:36 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 18:13:36 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed
2025-08-23 18:13:36 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 18:13:36 | WARNING | app.main:check_external_services:265 | Ollama service check failed
2025-08-23 18:13:36 | INFO | app.main:lifespan:48 | Application startup completed successfully
2025-08-23 18:31:55 | INFO | app.main:lifespan:57 | Shutting down RAG application
2025-08-23 18:31:56 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:32:08 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:35:14 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:37:39 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:42:39 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:51:57 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:51:58 | INFO | app.services.embeddings:__init__:25 | Initialized Google embeddings with model: nomic-embed-text
2025-08-23 19:01:40 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 19:01:41 | INFO | app.services.embeddings:__init__:25 | Initialized Google embeddings with model: text-embedding-004
2025-08-23 20:03:08 | INFO | app.core.logging:setup_logging:80 | Logging configured
